ba_1,ba_2,pair_hours,single_report_hours,agreement_hours,discrepancy_hours,discrepancy_rate,direction_conflict_hours,median_flow_mwh,median_report_spread
AVA,BPAT,24,0,0,24,1,0,518.25,284
BPAT,PGE,24,0,0,24,1,0,1496.5,754
BPAT,PSEI,24,0,0,24,1,0,1672.5,720.5
CAR,MIDA,24,0,0,24,1,2,576.75,212.5
CISO,TIDC,24,0,0,24,1,7,172.25,263
CPLW,PJM,24,0,0,24,1,6,63,63.5
MIDW,SE,24,0,0,24,1,0,897.25,168.5
MISO,SOCO,24,0,0,24,1,0,897.25,168.5
PACE,WACM,24,0,0,24,1,0,620.5,234
DUK,PJM,24,0,1,23,0.9583333333333334,0,411.75,107
MIDA,TEN,24,0,1,23,0.9583333333333334,2,333.5,217
PJM,TVA,24,0,1,23,0.9583333333333334,2,333.5,217
LGEE,PJM,24,0,2,22,0.9166666666666666,2,151,113.5
CPLE,PJM,24,0,3,21,0.875,8,312.5,299
WACM,WAUW,24,0,3,21,0.875,0,1,2
MIDA,NY,24,0,4,20,0.8333333333333334,0,2353,366
NYIS,PJM,24,0,4,20,0.8333333333333334,0,2353,366
CAR,SE,24,0,5,19,0.7916666666666666,0,1185.5,816
CHPD,DOPD,24,0,5,19,0.7916666666666666,1,73.25,14
CENT,NW,24,0,6,18,0.75,0,389.5,369.5
MIDA,MIDW,24,0,6,18,0.75,0,2851.75,674.5
MISO,PJM,24,0,7,17,0.7083333333333334,0,3044.5,723
AZPS,WACM,24,0,8,16,0.6666666666666666,0,71,5
NWMT,WAUW,24,0,8,16,0.6666666666666666,0,10.75,1.5
BPAT,DOPD,24,0,10,14,0.5833333333333334,0,165.75,12
BPAT,GCPD,24,0,10,14,0.5833333333333334,0,82.75,5
CISO,SRP,24,0,10,14,0.5833333333333334,2,502.25,627
AZPS,SRP,24,0,11,13,0.5416666666666666,0,4078.75,239
CENT,MIDW,24,0,11,13,0.5416666666666666,0,906.5,295
CAL,SW,24,0,12,12,0.5,3,1997.75,661.5
MISO,SWPP,24,0,13,11,0.4583333333333333,0,201,19
AECI,SWPP,24,0,17,7,0.2916666666666667,1,321.25,488
FPL,GVL,24,13,5,6,0.25,0,11.5,1
GWA,NWMT,24,0,20,4,0.16666666666666666,0,59.75,21
LGEE,MISO,24,0,20,4,0.16666666666666666,1,179.25,4.5
FPL,SOCO,24,0,21,3,0.125,0,318.25,4
ISNE,NYIS,24,0,21,3,0.125,0,408,8
NE,NY,24,0,21,3,0.125,0,408,8
DUK,YAD,24,0,22,2,0.08333333333333333,0,79,2
FLA,SE,24,0,22,2,0.08333333333333333,1,397.25,4
NW,SW,24,0,22,2,0.08333333333333333,0,1161.5,6
NWMT,WWA,24,0,22,2,0.08333333333333333,0,62.25,112
CENT,TEX,24,0,23,1,0.041666666666666664,0,189.25,1
ERCO,SWPP,24,0,23,1,0.041666666666666664,0,189.25,1
MISO,SPA,24,0,23,1,0.041666666666666664,0,146,3
AECI,MISO,24,0,24,0,0,0,804.5,NA
AECI,SIKE,24,24,0,0,0,0,63,NA
AECI,SPA,24,0,24,0,0,0,467,NA
AECI,TVA,24,0,24,0,0,0,210.75,NA
AESO,NWMT,24,24,0,0,0,0,114,NA
AVA,CHPD,24,0,24,0,0,0,4,NA
AVA,GCPD,24,0,24,0,0,0,94,NA
AVA,IPCO,24,0,24,0,0,0,108.5,NA
AVA,NWMT,24,0,24,0,0,0,165,NA
AVA,PACW,24,0,24,0,0,0,91.5,NA
AVRN,BPAT,24,0,24,0,0,0,809,NA
AVRN,PACW,24,0,24,0,0,0,458.5,NA
AZPS,CISO,24,0,24,0,0,0,461.5,NA
AZPS,IID,24,0,24,0,0,0,26,NA
AZPS,LDWP,24,0,24,0,0,0,283,NA
AZPS,PACE,24,0,24,0,0,0,149.5,NA
AZPS,PNM,24,0,24,0,0,0,205,NA
AZPS,TEPC,24,0,24,0,0,0,65,NA
AZPS,WALC,24,0,24,0,0,0,712,NA
BANC,BPAT,24,0,24,0,0,0,469,NA
BANC,CISO,24,0,24,0,0,0,308.25,NA
BANC,TIDC,24,0,24,0,0,0,197.5,NA
BCHA,BPAT,24,24,0,0,0,0,438,NA
BPAT,CHPD,24,0,24,0,0,0,452,NA
BPAT,CISO,24,0,24,0,0,0,455.5,NA
BPAT,GRID,24,0,24,0,0,0,1364.25,NA
BPAT,IPCO,24,0,24,0,0,0,27,NA
BPAT,LDWP,24,0,24,0,0,0,1102.5,NA
BPAT,NEVP,24,0,24,0,0,0,28,NA
BPAT,NWMT,24,0,24,0,0,0,1524.5,NA
BPAT,PACW,24,0,24,0,0,0,1119.5,NA
BPAT,SCL,24,0,24,0,0,0,663,NA
BPAT,TPWR,24,0,24,0,0,0,414,NA
CAL,MEX,24,24,0,0,0,0,23.5,NA
CAL,NW,24,0,24,0,0,0,1641,NA
CAN,CENT,6,6,0,0,0,0,36.5,NA
CAN,MIDW,24,24,0,0,0,0,654,NA
CAN,NE,24,24,0,0,0,0,758,NA
CAN,NW,24,24,0,0,0,0,448,NA
CAN,NY,24,24,0,0,0,0,447.5,NA
CAN,US48,24,24,0,0,0,0,1796.5,NA
CAR,TEN,24,0,24,0,0,0,55.5,NA
CEN,CISO,24,24,0,0,0,0,23.5,NA
CEN,ERCO,24,24,0,0,0,0,18.5,NA
CENT,SW,24,0,24,0,0,0,63.5,NA
CHPD,PSEI,24,0,24,0,0,0,71,NA
CISO,IID,24,0,24,0,0,0,186.5,NA
CISO,LDWP,24,0,24,0,0,0,514,NA
CISO,NEVP,24,0,24,0,0,0,774,NA
CISO,PACW,24,0,24,0,0,0,0,NA
CISO,WALC,24,0,24,0,0,0,191,NA
CPLE,DUK,24,0,24,0,0,0,339,NA
CPLE,SC,24,19,5,0,0,0,101.5,NA
CPLE,SCEG,24,0,24,0,0,0,153.5,NA
CPLE,YAD,24,0,24,0,0,0,14,NA
CPLW,DUK,24,0,24,0,0,0,90.5,NA
CPLW,TVA,24,0,24,0,0,0,8,NA
DEAA,SRP,24,0,24,0,0,0,482.5,NA
DUK,SC,24,19,5,0,0,0,547.5,NA
DUK,SCEG,24,0,24,0,0,0,176,NA
DUK,SEPA,24,0,24,0,0,0,61,NA
DUK,SOCO,24,0,24,0,0,0,319,NA
DUK,TVA,24,0,24,0,0,0,58.5,NA
EPE,PNM,24,0,24,0,0,0,129,NA
EPE,SWPP,24,0,24,0,0,0,63.5,NA
EPE,TEPC,24,0,24,0,0,0,124,NA
FMPP,FPC,24,0,24,0,0,0,595.25,NA
FMPP,FPL,24,0,24,0,0,0,349,NA
FMPP,JEA,24,0,24,0,0,0,17.5,NA
FMPP,TEC,24,0,24,0,0,0,227,NA
FPC,FPL,24,0,24,0,0,0,710.5,NA
FPC,GVL,24,13,11,0,0,0,14.5,NA
FPC,SEC,24,0,24,0,0,0,458.5,NA
FPC,SOCO,24,0,24,0,0,0,146.5,NA
FPC,TAL,24,0,24,0,0,0,89.25,NA
FPC,TEC,24,0,24,0,0,0,548,NA
FPL,HST,24,0,24,0,0,0,73.75,NA
FPL,JEA,24,0,24,0,0,0,383.75,NA
FPL,SEC,24,0,24,0,0,0,1081.75,NA
FPL,TEC,24,0,24,0,0,0,339,NA
GCPD,PACW,24,0,24,0,0,0,102,NA
GCPD,PSEI,24,0,24,0,0,0,132.5,NA
GRID,PNM,24,0,24,0,0,0,265,NA
GRID,SRP,24,0,24,0,0,0,614,NA
GRID,WALC,24,0,24,0,0,0,407,NA
HQT,ISNE,24,24,0,0,0,0,646.5,NA
HQT,NYIS,24,24,0,0,0,0,412.5,NA
IESO,MISO,24,24,0,0,0,0,167,NA
IESO,NYIS,24,24,0,0,0,0,519,NA
IID,WALC,24,0,24,0,0,0,10,NA
IPCO,NEVP,24,0,24,0,0,0,83,NA
IPCO,NWMT,24,0,24,0,0,0,14,NA
IPCO,PACE,24,0,24,0,0,0,778.5,NA
IPCO,PACW,24,0,24,0,0,0,90.5,NA
ISNE,NBSO,24,24,0,0,0,0,124.5,NA
JEA,SEC,24,0,24,0,0,0,33.5,NA
LDWP,NEVP,24,0,24,0,0,0,1300.5,NA
LDWP,PACE,24,0,24,0,0,0,284.5,NA
LDWP,WALC,24,0,24,0,0,0,613,NA
LGEE,TVA,24,0,24,0,0,0,377,NA
MEX,TEX,24,24,0,0,0,0,18.5,NA
MEX,US48,24,24,0,0,0,0,91,NA
MHEB,MISO,24,24,0,0,0,0,755,NA
MIDW,TEN,24,0,24,0,0,0,2478.25,NA
MISO,SIKE,24,24,0,0,0,0,145,NA
MISO,TVA,24,0,24,0,0,0,2641.5,NA
NEVP,PACE,24,0,24,0,0,0,218.5,NA
NEVP,WALC,24,0,24,0,0,0,651.5,NA
NWMT,PACE,24,0,24,0,0,0,175.5,NA
PACE,PACW,24,24,0,0,0,0,0,NA
PACW,PGE,24,0,24,0,0,0,30,NA
PNM,PSCO,24,0,24,0,0,0,120.5,NA
PNM,SWPP,24,0,24,0,0,0,0,NA
PNM,TEPC,24,0,24,0,0,0,171,NA
PNM,WACM,24,0,24,0,0,0,227.5,NA
PSCO,SWPP,24,0,24,0,0,0,208,NA
PSCO,WACM,24,0,24,0,0,0,518,NA
PSEI,SCL,24,0,24,0,0,0,60,NA
PSEI,TPWR,24,0,24,0,0,0,43.5,NA
SC,SCEG,24,19,5,0,0,0,674.5,NA
SC,SEPA,24,19,5,0,0,0,158.5,NA
SC,SOCO,24,19,5,0,0,0,767.5,NA
SCEG,SEPA,24,0,24,0,0,0,25,NA
SCEG,SOCO,24,0,24,0,0,0,1083,NA
SE,TEN,24,0,24,0,0,0,576,NA
SEC,TEC,24,0,24,0,0,0,81,NA
SEPA,SOCO,24,0,24,0,0,0,186,NA
SIKE,SPA,24,24,0,0,0,0,70.5,NA
SIKE,SWPP,24,18,6,0,0,0,120,NA
SOCO,TAL,24,0,24,0,0,0,78.25,NA
SOCO,TVA,24,0,24,0,0,0,576,NA
SPA,SWPP,6,6,0,0,0,0,523,NA
SPC,SWPP,6,6,0,0,0,0,36.5,NA
SRP,TEPC,24,0,24,0,0,0,340,NA
SRP,WALC,24,0,24,0,0,0,327.75,NA
SWPP,WACM,24,18,6,0,0,0,327,NA
SWPP,WAUW,24,18,6,0,0,0,75,NA
TEPC,WALC,24,0,24,0,0,0,280.5,NA
WACM,WALC,24,0,24,0,0,0,357,NA
