"node","name","entity_type","layer","measure","scenario","weighted_stress_value","weighted_normal_value","weighted_difference","retained_stress_weight","stress_observations","normal_observations","resolved_flow_coverage","positive_demand_coverage","claim_status","all_primary","sign_consistent","scenario_stable"
"SPA","Southwestern Power Administration","balancing_authority","ba","net_import_dependence","mid",-24.9425223931616,-31.4847548146584,6.5422324214968,1,437,8287,0.996575342465753,0.999771585198721,"PRIMARY",TRUE,TRUE,TRUE
"GCPD","Public Utility District No. 2 of Grant County, Washington","balancing_authority","ba","net_import_dependence","mid",0.0240696098065253,-0.140025288012429,0.164094897818954,1,437,8310,0.99851598173516,1,"PRIMARY",TRUE,TRUE,TRUE
"WALC","Western Area Power Administration - Desert Southwest Region","balancing_authority","ba","net_import_dependence","mid",-0.0959971611864314,0.0622731288913913,-0.158270290077823,1,436,8264,0.993150684931507,1,"PRIMARY",TRUE,TRUE,TRUE
"CHPD","Public Utility District No. 1 of Chelan County","balancing_authority","ba","net_import_dependence","mid",-2.8121203181957,-2.96960161587613,0.157481297680436,1,428,8111,0.974771689497717,1,"PRIMARY",TRUE,TRUE,TRUE
"SEC","Seminole Electric Cooperative","balancing_authority","ba","net_import_dependence","mid",-4.95646741803116,-5.1007710846894,0.144303666658243,1,438,8306,0.998287671232877,0.999885844748858,"PRIMARY",TRUE,TRUE,TRUE
"AECI","Associated Electric Cooperative, Inc.","balancing_authority","ba","net_import_dependence","mid",0.0563107012939,-0.0762015529377894,0.132512254231689,1,408,8172,0.979452054794521,1,"PRIMARY",TRUE,TRUE,TRUE
"DOPD","PUD No. 1 of Douglas County","balancing_authority","ba","net_import_dependence","mid",-0.475784271497206,-0.607552102853059,0.131767831355853,1,426,8075,0.970433789954338,1,"PRIMARY",TRUE,TRUE,TRUE
"TPWR","City of Tacoma, Department of Public Utilities, Light Division","balancing_authority","ba","net_import_dependence","mid",0.650215973653915,0.547287848655458,0.102928124998457,1,438,8257,0.994178082191781,0.998401826484018,"PRIMARY",TRUE,TRUE,TRUE
"SCL","Seattle City Light","balancing_authority","ba","net_import_dependence","mid",0.586106166679982,0.497873307864989,0.0882328588149938,1,438,8156,0.981050228310502,1,"PRIMARY",TRUE,TRUE,TRUE
"IID","Imperial Irrigation District","balancing_authority","ba","net_import_dependence","mid",-0.357071939630762,-0.440835666724382,0.0837637270936208,1,428,8165,0.992465753424657,0.988470319634703,"PRIMARY",TRUE,TRUE,TRUE
"PNM","Public Service Company of New Mexico","balancing_authority","ba","net_import_dependence","mid",0.011096679287263,-0.0666563063041334,0.0777529855913965,1,438,8321,0.999885844748858,1,"PRIMARY",TRUE,TRUE,TRUE
"TVA","Tennessee Valley Authority","balancing_authority","ba","net_import_dependence","mid",0.0997267478847928,0.0371248256641175,0.0626019222206752,1,396,7591,0.91175799086758,1,"PRIMARY",TRUE,TRUE,TRUE
"JEA","JEA","balancing_authority","ba","net_import_dependence","mid",0.225968645635354,0.288485804068423,-0.0625171584330698,1,438,8310,0.998630136986301,1,"PRIMARY",TRUE,TRUE,TRUE
"SC","South Carolina Public Service Authority","balancing_authority","ba","net_import_dependence","mid",0.207844956073814,0.262949531278427,-0.0551045752046134,1,438,8319,0.999657534246575,1,"PRIMARY",TRUE,TRUE,TRUE
"ISNE","ISO New England","balancing_authority","ba","net_import_dependence","mid",0.0553789427836077,0.00150326987371101,0.0538756729098967,1,436,8302,0.997488584474886,1,"PRIMARY",TRUE,TRUE,TRUE
"TAL","City of Tallahassee","balancing_authority","ba","net_import_dependence","mid",0.0627862241418696,0.00921466758109913,0.0535715565607704,1,438,8320,0.999771689497717,1,"PRIMARY",TRUE,TRUE,TRUE
"NY","New York","regional_aggregate","region","net_import_dependence","mid",0.0747519543436493,0.115218639451414,-0.0404666851077647,1,431,7123,0.986680595455733,0.999771689497717,"PRIMARY",TRUE,TRUE,TRUE
"IPCO","Idaho Power Company","balancing_authority","ba","net_import_dependence","mid",0.286722220498045,0.248543430186481,0.0381787903115643,1,438,8322,1,1,"PRIMARY",TRUE,TRUE,TRUE
"PSEI","Puget Sound Energy, Inc.","balancing_authority","ba","net_import_dependence","mid",0.623151664246228,0.660196098015356,-0.0370444337691274,1,438,8320,0.999771689497717,1,"PRIMARY",TRUE,TRUE,TRUE
"NWMT","NorthWestern Corporation","balancing_authority","ba","net_import_dependence","mid",-0.519788991696828,-0.486983143859016,-0.0328058478378126,0.997716894977169,427,7703,0.929109589041096,0.998972602739726,"PRIMARY",TRUE,TRUE,TRUE
"DUK","Duke Energy Carolinas","balancing_authority","ba","net_import_dependence","mid",-0.0129234019938748,-0.0457172074744288,0.032793805480554,0.997716894977169,420,7530,0.907648401826484,1,"PRIMARY",TRUE,TRUE,TRUE
"FMPP","Florida Municipal Power Pool","balancing_authority","ba","net_import_dependence","mid",0.00779588553734612,0.0401964576275804,-0.0324005720902343,1,438,8307,0.99851598173516,0.999771689497717,"PRIMARY",TRUE,TRUE,TRUE
"SOCO","Southern Company Services, Inc. - Trans","balancing_authority","ba","net_import_dependence","mid",-0.083413203556032,-0.0536742662551386,-0.0297389373008934,0.997716894977169,433,7956,0.957648401826484,1,"PRIMARY",TRUE,TRUE,TRUE
"SE","Southeast","regional_aggregate","region","net_import_dependence","mid",-0.0935652777002134,-0.0641454142846644,-0.0294198634155491,0.997716894977169,417,6910,0.956527415143603,1,"PRIMARY",TRUE,TRUE,TRUE
