"node","name","layer","measure","scenario","weighted_stress_value","weighted_normal_value","weighted_difference","retained_stress_weight","positive_demand_coverage","resolved_flow_coverage","annual_demand_mwh","median_demand_mwh","maximum_demand_mwh"
"SPA","Southwestern Power Administration","ba","gross_import_ratio","mid",2.13138656347117,1.84498779450444,0.286398768966725,1,0.999771585198721,0.996575342465753,187274,21,52
"TPWR","City of Tacoma, Department of Public Utilities, Light Division","ba","gross_import_ratio","mid",0.743363435406228,0.626719894280135,0.116643541126092,1,0.998401826484018,0.994178082191781,4531539,502,936
"SCL","Seattle City Light","ba","gross_import_ratio","mid",0.587668041220979,0.499825852059908,0.0878421891610716,1,1,0.981050228310502,9474702,1059,1816
"WAUW","Western Area Power Administration - Upper Great Plains West","ba","gross_import_ratio","mid",0.876807588535138,0.792349286580949,0.0844583019541891,1,1,0.998059360730594,793908,88,158
"GCPD","Public Utility District No. 2 of Grant County, Washington","ba","gross_import_ratio","mid",0.268644955978373,0.186465668946562,0.0821792870318112,1,1,0.99851598173516,6739895,752,1053
"AECI","Associated Electric Cooperative, Inc.","ba","gross_import_ratio","mid",0.235468701189077,0.167354596110813,0.0681141050782649,1,1,0.979452054794521,22319643,2323.5,5758
"JEA","JEA","ba","gross_import_ratio","mid",0.268954104225676,0.331119495686573,-0.0621653914608976,1,1,0.998630136986301,13821267,1473.5,2968
"WALC","Western Area Power Administration - Desert Southwest Region","ba","gross_import_ratio","mid",1.43184180887803,1.37038709826639,0.0614547106116412,1,1,0.993150684931507,9017249,1006,1995
"ISNE","ISO New England","ba","gross_import_ratio","mid",0.0764868776146649,0.0313331705988985,0.0451537070157664,1,1,0.997488584474886,115265944,12920,25898
"CHPD","Public Utility District No. 1 of Chelan County","ba","gross_import_ratio","mid",0.122238481507614,0.16380959107383,-0.0415711095662163,1,1,0.974771689497717,1982864,210,525
"NY","New York","region","gross_import_ratio","mid",0.0843093773381986,0.122452833860201,-0.0381434565220026,1,0.999771689497717,0.986680595455733,151531697,16827.5,31857
"IPCO","Idaho Power Company","ba","gross_import_ratio","mid",0.364668813632182,0.327415599379074,0.0372532142531081,1,1,1,18927864,2051,3932
"TVA","Tennessee Valley Authority","ba","gross_import_ratio","mid",0.128268933053393,0.0938290705759599,0.0344398624774329,1,1,0.91175799086758,170717598,18519.5,35086
"FMPP","Florida Municipal Power Pool","ba","gross_import_ratio","mid",0.220158480894138,0.25321457410612,-0.0330560932119822,1,0.999771689497717,0.99851598173516,19195277,2067,3978
