"node","name","layer","measure","scenario","weighted_stress_value","weighted_normal_value","weighted_difference","retained_stress_weight","positive_demand_coverage","resolved_flow_coverage","annual_demand_mwh","median_demand_mwh","maximum_demand_mwh"
"TPWR","City of Tacoma, Department of Public Utilities, Light Division","ba","net_import_dependence","mid",0.650215973653915,0.547287848655458,0.102928124998457,1,0.998401826484018,0.994178082191781,4531539,502,936
"SCL","Seattle City Light","ba","net_import_dependence","mid",0.586106166679982,0.497873307864989,0.0882328588149938,1,1,0.981050228310502,9474702,1059,1816
"GCPD","Public Utility District No. 2 of Grant County, Washington","ba","net_import_dependence","mid",0.098711183956931,0.0164201321508496,0.0822910518060814,1,1,0.99851598173516,6739895,752,1053
"TVA","Tennessee Valley Authority","ba","net_import_dependence","mid",0.0997267478847928,0.0371248256641175,0.0626019222206752,1,1,0.91175799086758,170717598,18519.5,35086
"AECI","Associated Electric Cooperative, Inc.","ba","net_import_dependence","mid",0.0566197301275263,0.000472681687701263,0.0561470484398251,1,1,0.979452054794521,22319643,2323.5,5758
"TAL","City of Tallahassee","ba","net_import_dependence","mid",0.0627910066421023,0.0148141359620981,0.0479768706800041,1,1,0.999771689497717,2888059,309,623
"ISNE","ISO New England","ba","net_import_dependence","mid",0.0553789427836077,0.015542577130103,0.0398363656535047,1,1,0.997488584474886,115265944,12920,25898
"IPCO","Idaho Power Company","ba","net_import_dependence","mid",0.286722220498045,0.248543430186481,0.0381787903115643,1,1,1,18927864,2051,3932
"NEVP","Nevada Power Company","ba","net_import_dependence","mid",0.15958081036986,0.134596869868367,0.0249839405014928,1,0.99783105022831,1,40373048,4195,9239
"GVL","Gainesville Regional Utilities","ba","net_import_dependence","mid",0.228401497898704,0.204855681760701,0.0235458161380032,1,1,0.999313108185461,2151131,227,560
"AZPS","Arizona Public Service Company","ba","net_import_dependence","mid",0.378718458568615,0.36027516154273,0.018443297025885,1,0.999885844748858,0.986073059360731,38863315,4128,10529
"PNM","Public Service Company of New Mexico","ba","net_import_dependence","mid",0.0251735538513177,0.00675284711868698,0.0184207067326307,1,1,0.999885844748858,14616645,1619,2736
"PSCO","Public Service Company of Colorado","ba","net_import_dependence","mid",0.0212204465502395,0.00350905748795112,0.0177113890622884,1,0.999315068493151,0.999429223744292,45250779,5008,9079
"WAUW","Western Area Power Administration - Upper Great Plains West","ba","net_import_dependence","mid",0.590137560440556,0.575935377707826,0.0142021827327304,1,1,0.998059360730594,793908,88,158
"PACW","PacifiCorp West","ba","net_import_dependence","mid",0.729483360815989,0.718913299661618,0.0105700611543715,1,1,0.988812785388128,20338715,2320,4195
"DUK","Duke Energy Carolinas","ba","net_import_dependence","mid",0.00972670869933476,0.000793941729367788,0.00893276696996697,0.997716894977169,1,0.907648401826484,109800715,11919,21931
"IID","Imperial Irrigation District","ba","net_import_dependence","mid",0.00110220374986025,0.000301562689156284,0.000800641060703968,1,0.988470319634703,0.992465753424657,3752643,357,1133
"NW","Northwest","region","net_import_dependence","mid",0.000935711389994125,0.000412050478150451,0.000523660911843674,0.997716894977169,1,0.948473780328724,373658042,41885.5,64627
"FPL","Florida Power & Light Co.","ba","net_import_dependence","mid",0.000203825366007673,0,0.000203825366007673,1,1,0.99703196347032,146559106,15902,28963
"CHPD","Public Utility District No. 1 of Chelan County","ba","net_import_dependence","mid",0,0,0,1,1,0.974771689497717,1982864,210,525
"DOPD","PUD No. 1 of Douglas County","ba","net_import_dependence","mid",0,0,0,1,1,0.970433789954338,2434595,269,509
"NWMT","NorthWestern Corporation","ba","net_import_dependence","mid",0,0,0,0.997716894977169,0.998972602739726,0.929109589041096,11763440,1320,2738
"SEC","Seminole Electric Cooperative","ba","net_import_dependence","mid",0,0,0,1,0.999885844748858,0.998287671232877,2049470,213,1560
"SPA","Southwestern Power Administration","ba","net_import_dependence","mid",0,0,0,1,0.999771585198721,0.996575342465753,187274,21,52
"SE","Southeast","region","net_import_dependence","mid",0,0,0,0.997716894977169,1,0.956527415143603,238686827,25861,46490
"TEX","Texas","region","net_import_dependence","mid",0.000561737951571143,0.000585809631932571,-2.4071680361428e-05,1,1,0.99921660791226,488100254,53399.5,83597
"ERCO","Electric Reliability Council of Texas, Inc.","ba","net_import_dependence","mid",0.000322850684646079,0.000361322595089761,-3.84719104436816e-05,1,1,0.998507805325987,488035424,53399.5,83597
"NE","New England","region","net_import_dependence","mid",0.00289087874458586,0.00321794801598892,-0.000327069271403056,1,1,0.997388352050144,115267699,12920,25898
"SCEG","Dominion Energy South Carolina, Inc.","ba","net_import_dependence","mid",0.00044282957399783,0.0014660136333969,-0.00102318405939907,1,1,0.995091324200913,24711795,2696,5025
"FLA","Florida","region","net_import_dependence","mid",0.0180690065465288,0.02266434417166,-0.00459533762513115,1,1,0.996996996996997,267786696,28751.5,54587
"SWPP","Southwest Power Pool","ba","net_import_dependence","mid",0,0.00645446744902029,-0.00645446744902029,1,1,0.965981735159817,299819813,33138.5,54745
"FPC","Duke Energy Florida, Inc.","ba","net_import_dependence","mid",0.154295148719427,0.16700171158979,-0.0127065628703629,1,1,0.998744292237443,58123074,6122,12583
"CAL","California","region","net_import_dependence","mid",0.0276594419045974,0.0418507806139083,-0.0141913387093109,1,1,0.962822854161231,272690883,30160,54517
"TEPC","Tucson Electric Power","ba","net_import_dependence","mid",0.204008778642074,0.220359425995209,-0.016350647353135,1,0.999885844748858,0.999657534246575,14474691,1526.5,3448
"BANC","Balancing Authority of Northern California","ba","net_import_dependence","mid",0.248003518281695,0.267176469892155,-0.0191729516104602,1,1,0.999429223744292,17565972,1882,4239
"EPE","El Paso Electric Company","ba","net_import_dependence","mid",0.289047230765192,0.31036599404083,-0.0213187632756385,1,1,1,9163045,936,2409
"FMPP","Florida Municipal Power Pool","ba","net_import_dependence","mid",0.0150193990277379,0.0404336997031367,-0.0254143006753987,1,0.999771689497717,0.99851598173516,19195277,2067,3978
