"node","measure","scenario","weighted_stress_value_fully_observed_only","weighted_stress_value_inclusive","weighted_normal_value_fully_observed_only","weighted_normal_value_inclusive","weighted_difference_fully_observed_only","weighted_difference_inclusive","difference_shift","sign_changed"
"AECI","raw_net_import_ratio","mid",0.0563107012939,0.050413395108416,-0.0762015529377894,-0.0749153016029544,0.132512254231689,0.12532869671137,-0.00718355752031896,FALSE
"GCPD","raw_net_import_ratio","mid",0.0240696098065253,0.0234524974318863,-0.140025288012429,-0.138071553509307,0.164094897818954,0.161524050941193,-0.00257084687776044,FALSE
"PNM","raw_net_import_ratio","mid",0.011096679287263,0.011096679287263,-0.0666563063041334,-0.0666563063041334,0.0777529855913965,0.0777529855913965,0,FALSE
"PSCO","raw_net_import_ratio","mid",0.00710816266413588,0.00710816266413588,-0.0220819330154717,-0.0221878239466426,0.0291900956796075,0.0292959866107784,0.000105890931170912,FALSE
"SCL","raw_net_import_ratio","mid",0.586106166679982,0.586106166679982,0.497873307864989,0.497873307864989,0.0882328588149938,0.0882328588149938,0,FALSE
"TPWR","raw_net_import_ratio","mid",0.650215973653915,0.650215973653915,0.547287848655458,0.547287848655458,0.102928124998457,0.102928124998457,0,FALSE
"TVA","raw_net_import_ratio","mid",0.0997267478847928,0.101448963713086,0.0371248256641175,0.0400458889387844,0.0626019222206752,0.0614030747743011,-0.00119884744637409,FALSE
"AECI","net_import_dependence","mid",0.0566197301275263,0.0507224239420423,0.000472681687701263,0.000472681687701263,0.0561470484398251,0.0502497422543411,-0.00589730618548401,FALSE
"GCPD","net_import_dependence","mid",0.098711183956931,0.098094071582292,0.0164201321508496,0.0172244201146678,0.0822910518060814,0.0808696514676242,-0.00142140033845722,FALSE
"PNM","net_import_dependence","mid",0.0251735538513177,0.0251735538513177,0.00675284711868698,0.00675284711868698,0.0184207067326307,0.0184207067326307,0,FALSE
"PSCO","net_import_dependence","mid",0.0212204465502395,0.0212204465502395,0.00350905748795112,0.00340316655678021,0.0177113890622884,0.0178172799934593,0.000105890931170909,FALSE
"SCL","net_import_dependence","mid",0.586106166679982,0.586106166679982,0.497873307864989,0.497873307864989,0.0882328588149938,0.0882328588149938,0,FALSE
"TPWR","net_import_dependence","mid",0.650215973653915,0.650215973653915,0.547287848655458,0.547287848655458,0.102928124998457,0.102928124998457,0,FALSE
"TVA","net_import_dependence","mid",0.0997267478847928,0.101448963713086,0.0371248256641175,0.0400458889387844,0.0626019222206752,0.0614030747743011,-0.00119884744637409,FALSE
"NW","raw_net_import_ratio","mid",-0.00905700787732978,-0.0079075487172014,-0.0151186236578457,-0.0147958952303565,0.00606161578051596,0.00688834651315511,0.000826730732639148,FALSE
"NW","net_import_dependence","mid",0.000935711389994125,0.00104310087296006,0.000412050478150451,0.00067051602282934,0.000523660911843674,0.000372584850130716,-0.000151076061712958,FALSE
