"node","stress_observations","normal_observations","retained_stress_weight","weighted_stress_value","weighted_normal_value","weighted_difference","measure","scenario","threshold_pct"
"AECI",84,8496,1,0.229162242605937,0.189664168853663,0.0394980737522747,"gross_import_ratio","lower",0.01
"GCPD",88,8659,1,0.248784259480405,0.235182580099736,0.0136016793806683,"gross_import_ratio","lower",0.01
"PNM",88,8671,1,0.207641307336114,0.197456169866615,0.0101851374694989,"gross_import_ratio","lower",0.01
"PSCO",88,8661,1,0.0390492514650079,0.0335648223953246,0.00548442906968327,"gross_import_ratio","lower",0.01
"SCL",88,8506,1,0.623028062057679,0.562847498207027,0.0601805638506518,"gross_import_ratio","lower",0.01
"TPWR",88,8607,1,0.74962746111964,0.681781663315398,0.0678457978042419,"gross_import_ratio","lower",0.01
"TVA",79,7908,1,0.140811191625062,0.105371091646911,0.0354400999781516,"gross_import_ratio","lower",0.01
"AECI",84,8496,1,0.0371780943139971,-0.00907659065319623,0.0462546849671933,"raw_net_import_ratio","lower",0.01
"GCPD",88,8659,1,0.0726053717918258,-0.0178113047857701,0.090416676577596,"raw_net_import_ratio","lower",0.01
"PNM",88,8671,1,0.0225649123957935,-0.0438906128728883,0.0664555252686818,"raw_net_import_ratio","lower",0.01
"PSCO",88,8661,1,0.00461362057035627,-0.00399204377684765,0.00860566434720392,"raw_net_import_ratio","lower",0.01
"SCL",88,8506,1,0.623028062057679,0.561439919541895,0.0615881425157843,"raw_net_import_ratio","lower",0.01
"TPWR",88,8607,1,0.649640115336654,0.596380578871509,0.0532595364651448,"raw_net_import_ratio","lower",0.01
"TVA",79,7908,1,0.117571742962301,0.0667517891585834,0.0508199538037174,"raw_net_import_ratio","lower",0.01
"AECI",84,8496,1,0.039793996593784,0.00200396819990384,0.0377900283938801,"net_import_dependence","lower",0.01
"GCPD",88,8659,1,0.0936719261149127,0.0324721409281968,0.0611997851867159,"net_import_dependence","lower",0.01
"PNM",88,8671,1,0.0240223517587143,0.0030488829311047,0.0209734688276096,"net_import_dependence","lower",0.01
"PSCO",88,8661,1,0.017210785941771,0.0081482662217115,0.00906251972005948,"net_import_dependence","lower",0.01
"SCL",88,8506,1,0.623028062057679,0.561439919541895,0.0615881425157843,"net_import_dependence","lower",0.01
"TPWR",88,8607,1,0.649640115336654,0.596380578871509,0.0532595364651448,"net_import_dependence","lower",0.01
"TVA",79,7908,1,0.117571742962301,0.0667517891585834,0.0508199538037174,"net_import_dependence","lower",0.01
"AECI",84,8496,1,0.00261590227978683,0.0110805588531001,-0.00846465657331324,"net_export_intensity","lower",0.01
"GCPD",88,8659,1,0.0210665543230869,0.0502834457139669,-0.02921689139088,"net_export_intensity","lower",0.01
"PNM",88,8671,1,0.00145743936292075,0.046939495803993,-0.0454820564410723,"net_export_intensity","lower",0.01
"PSCO",88,8661,1,0.0125971653714147,0.0121403099985592,0.00045685537285556,"net_export_intensity","lower",0.01
"SCL",88,8506,1,0,0,0,"net_export_intensity","lower",0.01
"TPWR",88,8607,1,0,0,0,"net_export_intensity","lower",0.01
"TVA",79,7908,1,0,0,0,"net_export_intensity","lower",0.01
"AECI",84,8496,1,0.253113468269631,0.196579713000158,0.0565337552694736,"gross_import_ratio","mid",0.01
"GCPD",88,8659,1,0.249241609151779,0.235563139889994,0.0136784692617855,"gross_import_ratio","mid",0.01
"PNM",88,8671,1,0.207641307336114,0.197497621796088,0.0101436855400259,"gross_import_ratio","mid",0.01
"PSCO",88,8661,1,0.0390492514650079,0.0335653796776647,0.00548387178734315,"gross_import_ratio","mid",0.01
"SCL",88,8506,1,0.623028062057679,0.562847498207027,0.0601805638506518,"gross_import_ratio","mid",0.01
"TPWR",88,8607,1,0.749647785350906,0.681954118299745,0.067693667051161,"gross_import_ratio","mid",0.01
"TVA",79,7908,1,0.141919484227711,0.106973651820191,0.0349458324075196,"gross_import_ratio","mid",0.01
"AECI",84,8496,1,0.05994703747744,-0.00498446222610133,0.0649314997035414,"raw_net_import_ratio","mid",0.01
"GCPD",88,8659,1,0.0727162494787725,-0.0179634436421464,0.0906796931209189,"raw_net_import_ratio","mid",0.01
"PNM",88,8671,1,0.0225649123957935,-0.043849572140402,0.0664144845361955,"raw_net_import_ratio","mid",0.01
"PSCO",88,8661,1,0.00461362057035627,-0.00399214001430175,0.00860576058465801,"raw_net_import_ratio","mid",0.01
"SCL",88,8506,1,0.623028062057679,0.561439919541895,0.0615881425157843,"raw_net_import_ratio","mid",0.01
"TPWR",88,8607,1,0.64966043956792,0.596553033855856,0.053107405712064,"raw_net_import_ratio","mid",0.01
"TVA",79,7908,1,0.115939304420092,0.065009914560788,0.0509293898593043,"raw_net_import_ratio","mid",0.01
"AECI",84,8496,1,0.0600335969546208,0.00357646867928452,0.0564571282753363,"net_import_dependence","mid",0.01
"GCPD",88,8659,1,0.0937598853863022,0.0325188226646614,0.0612410627216408,"net_import_dependence","mid",0.01
"PNM",88,8671,1,0.0240223517587143,0.00304921580787904,0.0209731359508352,"net_import_dependence","mid",0.01
"PSCO",88,8661,1,0.017210785941771,0.00814843566928041,0.00906235027249057,"net_import_dependence","mid",0.01
"SCL",88,8506,1,0.623028062057679,0.561439919541895,0.0615881425157843,"net_import_dependence","mid",0.01
"TPWR",88,8607,1,0.64966043956792,0.596553033855856,0.053107405712064,"net_import_dependence","mid",0.01
"TVA",79,7908,1,0.115939304420092,0.065009914560788,0.0509293898593043,"net_import_dependence","mid",0.01
"AECI",84,8496,1,8.65594771807578e-05,0.00856093090538585,-0.00847437142820509,"net_export_intensity","mid",0.01
"GCPD",88,8659,1,0.0210436359075297,0.0504822663068078,-0.0294386303992781,"net_export_intensity","mid",0.01
"PNM",88,8671,1,0.00145743936292075,0.046898787948281,-0.0454413485853603,"net_export_intensity","mid",0.01
"PSCO",88,8661,1,0.0125971653714147,0.0121405756835822,0.00045658968783256,"net_export_intensity","mid",0.01
"SCL",88,8506,1,0,0,0,"net_export_intensity","mid",0.01
