"node","name","layer","scenarios","crosses_in_all_scenarios","increase_in_all_scenarios","maximum_normal_ratio","minimum_stress_ratio","minimum_difference"
"AECI","Associated Electric Cooperative, Inc.","ba",3,TRUE,TRUE,-0.0742614458850062,0.0422375789177679,0.116499024802774
"AZPS","Arizona Public Service Company","ba",3,FALSE,TRUE,0.37759763062012,0.361424081027964,0.0184152054891452
"BANC","Balancing Authority of Northern California","ba",3,FALSE,FALSE,0.267039285159027,0.246993277123213,-0.020046008035814
"CAL","California","region",3,FALSE,FALSE,0.0472841826637378,0.0205901637698946,-0.0158272147941841
"CHPD","Public Utility District No. 1 of Chelan County","ba",3,FALSE,TRUE,-2.95630761381761,-2.82451329505832,0.156580272484528
"DOPD","PUD No. 1 of Douglas County","ba",3,FALSE,TRUE,-0.605249206226227,-0.47612107164384,0.129801734875655
"DUK","Duke Energy Carolinas","ba",3,FALSE,TRUE,-0.0392751276232485,-0.0158025997510004,0.0292309233864993
"EPE","El Paso Electric Company","ba",3,FALSE,FALSE,0.310409094373754,0.289019377067187,-0.021334009910558
"ERCO","Electric Reliability Council of Texas, Inc.","ba",3,FALSE,FALSE,-0.000206507937150804,-0.000364616315204987,-0.000146865775842361
"FLA","Florida","region",3,FALSE,FALSE,0.0227218385836259,0.0178602711512799,-0.00472848665720633
"FMPP","Florida Municipal Power Pool","ba",3,FALSE,FALSE,0.0424581546936857,0.00674668572854086,-0.0336130693475343
"FPC","Duke Energy Florida, Inc.","ba",3,FALSE,FALSE,0.168772423467866,0.152815680013595,-0.0129978060426057
"FPL","Florida Power & Light Co.","ba",3,FALSE,TRUE,-0.0162859586332296,-0.0142608508032901,0.0020251078299395
"GCPD","Public Utility District No. 2 of Grant County, Washington","ba",3,TRUE,TRUE,-0.139846791779569,0.0239123076343226,0.164073703758297
"GVL","Gainesville Regional Utilities","ba",3,FALSE,TRUE,0.206127475922076,0.227287130332719,0.0233883895426136
"HST","City of Homestead","ba",3,FALSE,FALSE,1.00179252350388,0.998905304787059,-0.000245039581872719
"IID","Imperial Irrigation District","ba",3,FALSE,TRUE,-0.439980792846237,-0.357298689182733,0.0831356027674461
"IPCO","Idaho Power Company","ba",3,FALSE,TRUE,0.248543430186481,0.286722220498045,0.0381787903115643
"ISNE","ISO New England","ba",3,FALSE,TRUE,0.00169790030346105,0.0552556707319255,0.0538043145318289
"JEA","JEA","ba",3,FALSE,FALSE,0.28852809743853,0.225784486671033,-0.0626590240272836
"LDWP","Los Angeles Department of Water and Power","ba",3,FALSE,FALSE,0.236070134903753,0.210070105065889,-0.0257103749963347
"NE","New England","region",3,FALSE,TRUE,-0.016715613173382,-0.0051298482015709,0.0118323090751756
"NEVP","Nevada Power Company","ba",3,FALSE,TRUE,0.134517274964315,0.159560961824706,0.0250436868603915
"NW","Northwest","region",3,FALSE,TRUE,-0.0138924611367599,-0.00978895706647303,0.00556740244857336
"NWMT","NorthWestern Corporation","ba",3,FALSE,FALSE,-0.486647397497788,-0.520454729256911,-0.0331358390366679
"NY","New York","region",3,FALSE,FALSE,0.131268657476324,0.0630266684239024,-0.0447914172129281
"NYIS","New York Independent System Operator","ba",3,FALSE,FALSE,0.109996477451544,0.0787755015587811,-0.00777040405326944
"PACW","PacifiCorp West","ba",3,FALSE,TRUE,0.755392496080687,0.700576550361419,0.00299767518987304
"PGE","Portland General Electric Company","ba",3,FALSE,FALSE,0.735768347454655,0.474308323059208,-0.0115462139467047
"PNM","Public Service Company of New Mexico","ba",3,TRUE,TRUE,-0.0665961365461355,0.0110960572543524,0.0776934378663092
"PSCO","Public Service Company of Colorado","ba",3,TRUE,TRUE,-0.0220809727163959,0.00710756231949048,0.0291885350358864
"PSEI","Puget Sound Energy, Inc.","ba",3,FALSE,FALSE,0.748752541933569,0.518250994320805,-0.053388659776338
"SC","South Carolina Public Service Authority","ba",3,FALSE,FALSE,0.262951110799958,0.207834562258863,-0.0551133894980333
"SCEG","Dominion Energy South Carolina, Inc.","ba",3,FALSE,FALSE,-0.0027501725656551,-0.00566031421296647,-0.00291014164731137
"SCL","Seattle City Light","ba",3,FALSE,TRUE,0.500414844011853,0.581151715124152,0.085819943406027
"SE","Southeast","region",3,FALSE,FALSE,-0.0605339284892508,-0.0995153435998636,-0.0317584435197856
"SEC","Seminole Electric Cooperative","ba",3,FALSE,TRUE,-5.06411528372877,-4.97759312818039,0.12877357584684
"SOCO","Southern Company Services, Inc. - Trans","ba",3,FALSE,FALSE,-0.0511694650414942,-0.0857121422900688,-0.029944799780501
"SPA","Southwestern Power Administration","ba",3,FALSE,TRUE,-31.4547210115856,-24.9690129523869,6.53868917764936
"SW","Southwest","region",3,FALSE,FALSE,-0.0137655597022165,-0.0362217980706371,-0.00172130403893807
"SWPP","Southwest Power Pool","ba",3,FALSE,FALSE,0.00385338617367914,-0.0167074302568525,-0.0205608164305317
"TAL","City of Tallahassee","ba",3,FALSE,TRUE,0.00938136099483233,0.0626186532988052,0.0535706791314392
"TEC","Tampa Electric Company","ba",3,FALSE,FALSE,0.17865191933999,0.175870395935812,-0.00261273220876559
"TEPC","Tucson Electric Power","ba",3,FALSE,FALSE,0.222101478541528,0.19901933852248,-0.0195980349264095
"TEX","Texas","region",3,FALSE,FALSE,0.000172910371114029,0.000111823014338534,-4.98447545636731e-05
"TPWR","City of Tacoma, Department of Public Utilities, Light Division","ba",3,FALSE,TRUE,0.548936774801251,0.647069194213468,0.101430271703803
"TVA","Tennessee Valley Authority","ba",3,FALSE,TRUE,0.0394645389116026,0.0988559245203628,0.0611330323376202
"WALC","Western Area Power Administration - Desert Southwest Region","ba",3,FALSE,FALSE,0.0629258502169283,-0.0978321453461564,-0.159452552912011
"WAUW","Western Area Power Administration - Upper Great Plains West","ba",3,FALSE,TRUE,0.579534783707712,0.588131321056514,0.0126090161168869
